id,title,content
1,Tại sao không được bẻ thuốc viên 360?,"Trong câu hỏi này, đầu tiên hỏi đối tượng mà khách cho sử dụng viên bẻ, nếu là:- Trẻ em: chưa uống được viên thì luôn hướng lại khách về sản phẩm 180mcg vì dạng nước dễ uống và tối ưu hơn cho trẻ.- TH người lớn thì vẫn khuyên uống cả viên vì viên 360 mcg đang bào chế dạng viên nén có màng bao bên ngoài.- Người già, người lớn: có thể bẻ nếu bất khả kháng, bắt buộc không nuốt được cả viên do thành phần tỏng viên không bị ảnh hưởng"
2,Có cơ chế dùng thử không?,"Các sản phẩm bổ sung canxi nói chung cần đủ 1 liệu trình tối thiểu 3 tháng thì sẽ tạo ra kết quả rõ rệt. Tất nhiên, đối với Midu MenaQ7 thì hầu hết các bạn dùng 1 tháng đã thấy cao lên nhưng anh chị nên kê và bán cho khách hàng đủ 3 tháng. Đó là thời gian cơ bản để tạo ra kết quả nhìn thấy rõ được thì khách hàng cũng thấy được lợi ích và mình cũng uy tín hơn chị ah"
3,Uống liệu trình như thế nào?,"1. Liệu trình phụ thuộc từng thể trạng của mỗi người. Trước tiên mình cần phải làm phác đồ để biết xem hiện trạng của bé đang dưới chuẩn, trên chuẩn hay chuẩn thì từ đấy sẽ có liệu trình cụ thể cho mỗi trường hợp chị nhé.hoặc 2. Với hiện trạng hiện tại của bạn nhỏ nhà mình và mục tiêu chiều cao của gia đình thì liệu trình sử dụng Midu MenaQ7 180mcg cho bạn như sau:"
4,Hình dạng viên nén như thế nào?,
5,Bảng chiều cao chuẩn WHO /Bộ y tế,"Tuy nhiên bảng này là bảng chuẩn theo tuổi. Đối với các bạn nhỏ chị nên cho phụ huynh điền thông tin trong bản phác đồ dự đoán chiều cao thì phần mềm sẽ phân tích theo cả từng tháng tuổi sẽ rất chuẩn và có bảng phác đồ dự đoán sự tăng trưởng của con ở từng giai đoạn cụ thể chị nhéChỉ là các bạn cao đôi khi việc chuyển hóa canxi nó lại cần đỏi hỏi lớn hơn các bạn thấp. Vì mình nhiều xương hơn mà nên lượng canxi cần lại càng nhiều. Chính vì vậy, cái đội bắc âu ấy toàn 1m9, 2m thì lại là đội hay bị loãng xương và ròn xương nhất"
6,Sử dụng sản phẩm và cách kê đơn trên hộp,"Thực ra việc kê đơn sử dụng thế nào nó cũng là cả một lượng kiến thức lớn. Vì sao mà bác sĩ phải học 6-10 năm mới có thể kê đơn chuẩn cho bệnh nhân. Nên chỉ đọc liều trên vỏ hộp hoặc hướng dẫn trên web thì không thể đầy đủ được. Trong buổi tốt nghiệp tới đây, bác sĩ Hiên sẽ hướng dẫn cả nhà mình để hiểu về nguyên nhân gốc rễ của việc sử dụng như thế nào và cách kê đơn cụ thể em nhé!"
7,Canxi uống lúc nào,"Câu hỏi của chị rất hay và cũng là câu hỏi của nhiều anh chị đại lý cũng như khách hàng. Để trả lời câu hỏi này thì mình cần hiểu vì sao một thực phẩm lại uống sau ăn cũng như uống trước ăn. ĐA SỐ các thuốc/thực phẩm được chỉ định uống sau ăn là do trong thành phần có hoạt chất gây kích ứng dạ dày. Còn các thuốc/thực phẩm được chỉ định uống trước ăn là do nếu uống sau ăn thì nước và thức ăn sẽ gây ảnh hưởng đến hoạt động của hoạt chất này làm giảm hiệu quả của sản phẩm. Ngoài ra một số sản phẩm chuyên sâu thì sẽ có một số lý do khác nữa. Đối với sản phẩm của Midu MenaQ7 thì không có hoạt chất nào gây kích ứng dạ dày và cũng không ảnh hưởng gì khi ăn uống cùng các đồ ăn thức uống khác. Và tuyệt vời hơn nữa là sử dụng canxi không lắng đọng và hàm lượng Vitamin D3, Vitamin K2 đã đủ để chuyển hóa 90% canxi nên có thể dùng sáng - trưa - chiều - tối các anh chị nhé"
8,20 tuổi có cao được không,"Câu trả lời chắc chắn là KHÔNG anh …. nhé. Nếu ở đâu đó có quảng cáo loại thuốc, thực phẩm gì uống vào có thể giúp nữ 20 tuổi tăng cao thì đều là lừa đảo."
9,,
10,Chỉ số BMI,"Một số bố mẹ hỏi về BMI vì có khi chỉ số BMI của con là gầy nhưng trên thực tế nhìn bạn ấy lại không gầyThực ra, BMI là viết tắt của Body Mass Index tức là chỉ số khối cơ thể. Đây là công thức được tính bằng cân nặng/(chiều cao)² và có nghĩa để xác định béo hay gầy (mập hay ốm)Tuy nhiên, chỉ số này chỉ áp dụng với người trưởng thành. Nên với trẻ em thì chỉ số này chỉ mang tính tham khảo thôi. Để biết chiều cao cân nặng của các bé dư hay thiếu, ba mẹ hãy căn cứ vào việc phân tích chiều cao cân nặng của con mình trên bản phác đồ dự đoán chiều cao nhé‼️"
